"CVE_GEOEST","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"010010890","22°00'28.134""N","102°07'44.614""W","1958","F13B89","R","Aguascalientes","Aguascalientes"
"010010891","21°45'31.830""N","102°17'09.603""W","1875","F13D19","R","Aguascalientes","Aguascalientes"
"010010892","21°47'23.278""N","102°21'04.009""W","1860","F13D18","R","Aguascalientes","Aguascalientes"
"010010893","21°47'36.013""N","102°13'59.903""W","1991","F13D19","R","Aguascalientes","Aguascalientes"
"010010895","21°44'32.677""N","102°10'02.391""W","1972","F13D29","R","Aguascalientes","Aguascalientes"
"010010900","22°00'37.286""N","102°08'40.357""W","1932","F13B89","R","Aguascalientes","Aguascalientes"
"010010901","21°59'56.425""N","102°13'23.870""W","1904","F13D19","R","Aguascalientes","Aguascalientes"
"010010903","21°46'55.525""N","102°08'52.024""W","2001","F13D19","R","Aguascalientes","Aguascalientes"
"010010904","21°49'24.597""N","102°10'38.246""W","2012","F13D19","R","Aguascalientes","Aguascalientes"
"010010905","21°49'19.982""N","102°16'00.575""W","1910","F13D19","R","Aguascalientes","Aguascalientes"
"010010906","21°47'46.386""N","102°21'46.990""W","1852","F13D18","R","Aguascalientes","Aguascalientes"
"010010925","21°40'44.126""N","102°27'13.748""W","1771","F13D28","R","Aguascalientes","Aguascalientes"
"010010907","21°47'34.000""N","102°04'32.000""W","1984","F13D19","R","Aguascalientes","Aguascalientes"
"010010908","21°52'58.631""N","102°22'18.557""W","1899","F13D18","R","Aguascalientes","Aguascalientes"
"010010909","21°53'16.785""N","102°23'25.097""W","1926","F13D18","R","Aguascalientes","Aguascalientes"
"010010910","21°45'52.395""N","102°16'48.010""W","1877","F13D19","R","Aguascalientes","Aguascalientes"
"010010912","21°50'20.731""N","102°21'20.763""W","1860","F13D18","R","Aguascalientes","Aguascalientes"
"010010914","21°56'12.148""N","102°10'27.029""W","2043","F13D19","R","Aguascalientes","Aguascalientes"
"010010915","21°48'13.716""N","102°15'26.102""W","1952","F13D19","R","Aguascalientes","Aguascalientes"
"010010917","21°47'36.601""N","102°18'47.763""W","1853","F13D19","R","Aguascalientes","Aguascalientes"
"010010918","21°46'06.892""N","102°08'49.222""W","1992","F13D19","R","Aguascalientes","Aguascalientes"
"010010919","21°45'29.220""N","102°15'43.407""W","1902","F13D19","R","Aguascalientes","Aguascalientes"
"010010920","21°51'26.394""N","102°13'48.111""W","1989","F13D19","R","Aguascalientes","Aguascalientes"
"010010921","21°46'24.395""N","102°09'18.241""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010922","21°51'56.443""N","102°10'52.262""W","2030","F13D19","R","Aguascalientes","Aguascalientes"
"010010862","21°42'59.144""N","102°26'52.199""W","1794","F13D28","R","Aguascalientes","Aguascalientes"
"010010863","21°45'09.794""N","102°16'09.838""W","1889","F13D19","R","Aguascalientes","Aguascalientes"
"010010866","21°45'23.336""N","102°18'07.673""W","1851","F13D19","R","Aguascalientes","Aguascalientes"
"010010867","21°42'49.798""N","102°26'30.853""W","1774","F13D28","R","Aguascalientes","Aguascalientes"
"010010870","21°48'13.511""N","102°28'01.208""W","1941","F13D18","R","Aguascalientes","Aguascalientes"
"010010874","21°59'31.161""N","102°05'53.319""W","2041","F13D19","R","Aguascalientes","Aguascalientes"
"010010876","21°46'00.179""N","102°16'54.338""W","1881","F13D19","R","Aguascalientes","Aguascalientes"
"010010465","","","","","R","Aguascalientes","Aguascalientes"
"010010449","","","","","R","Aguascalientes","Aguascalientes"
"010010470","","","","","R","Aguascalientes","Aguascalientes"
"010010471","","","","","R","Aguascalientes","Aguascalientes"
"010010404","","","","","R","Aguascalientes","Aguascalientes"
"010010416","","","","","R","Aguascalientes","Aguascalientes"
"010010879","21°46'10.673""N","102°06'46.362""W","1987","F13D19","R","Aguascalientes","Aguascalientes"
"010010880","21°49'40.910""N","102°22'24.831""W","1845","F13D18","R","Aguascalientes","Aguascalientes"
"010030042","","","","F13D17","R","Aguascalientes","Calvillo"
"010070033","","","","","R","Aguascalientes","Rincón de Romos"
"010010882","21°51'31.978""N","102°13'13.527""W","2015","F13D19","R","Aguascalientes","Aguascalientes"
"010070037","","","","","R","Aguascalientes","Rincón de Romos"
"010010885","21°56'24.654""N","102°17'10.590""W","1910","F13D19","R","Aguascalientes","Aguascalientes"
"010040086","22°21'30.455""N","102°16'19.788""W","1960","F13B79","R","Aguascalientes","Cosío"
"010010886","21°50'09.175""N","102°13'50.536""W","1963","F13D19","R","Aguascalientes","Aguascalientes"
"010010512","22°04'41.000""N","102°15'32.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010020260","22°13'58.812""N","102°01'35.116""W","2026","F13B89","R","Aguascalientes","Asientos"
"010010515","21°49'03.000""N","102°05'38.000""W","2005","F13D19","R","Aguascalientes","Aguascalientes"
"010010160","21°45'29.000""N","102°15'42.000""W","1980","F13D19","R","Aguascalientes","Aguascalientes"
"010010164","21°47'10.000""N","102°13'03.000""W","1980","F13D19","R","Aguascalientes","Aguascalientes"
"010010327","21°46'06.000""N","102°25'11.000""W","1900","F13D18","R","Aguascalientes","Aguascalientes"
"010010328","21°49'51.000""N","102°07'04.000""W","2005","F13D19","R","Aguascalientes","Aguascalientes"
"010010417","21°50'18.000""N","102°08'09.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010752","21°53'47.000""N","102°03'30.000""W","2030","F13D19","R","Aguascalientes","Aguascalientes"
"010010878","21°50'19.000""N","102°07'04.000""W","2005","F13D19","R","Aguascalientes","Aguascalientes"
"010010881","22°03'57.000""N","102°16'55.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010883","22°04'07.000""N","102°17'08.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010897","21°49'24.000""N","102°08'24.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010898","21°59'17.000""N","102°14'54.000""W","1920","F13D19","R","Aguascalientes","Aguascalientes"
"010020001","22°14'17.941""N","102°05'21.390""W","2167","F13B89","U","Aguascalientes","Asientos"
"010020002","22°02'46.360""N","101°55'16.291""W","2063","F14A81","R","Aguascalientes","Asientos"
"010060109","22°09'55.000""N","102°15'46.000""W","1900","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060246","22°08'01.000""N","102°19'13.000""W","1920","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060252","22°08'12.000""N","102°17'17.000""W","1910","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010090056","22°13'28.000""N","102°15'17.000""W","2170","F13B89","R","Aguascalientes","Tepezalá"
"010090057","22°12'03.000""N","102°15'32.000""W","1900","F13B89","R","Aguascalientes","Tepezalá"
"010010902","21°53'20.000""N","102°22'15.000""W","1880","F13D18","R","Aguascalientes","Aguascalientes"
"010010916","21°50'10.000""N","102°09'01.000""W","2010","F13D19","R","Aguascalientes","Aguascalientes"
"010011001","21°53'20.000""N","102°22'23.000""W","1920","F13D18","R","Aguascalientes","Aguascalientes"
"010011004","21°51'42.000""N","102°03'30.000""W","2010","F13D19","R","Aguascalientes","Aguascalientes"
"010011006","21°48'15.000""N","102°04'47.000""W","1990","F13D19","R","Aguascalientes","Aguascalientes"
"010011009","21°47'47.000""N","102°08'35.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010011156","21°47'20.000""N","102°06'02.000""W","1920","F13D19","R","Aguascalientes","Aguascalientes"
"010011162","22°04'27.000""N","102°15'00.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
