"Municipality ID","Municipality","Sector ID","Sector","Total Income","digitos","State ID","State"
1001,"Aguascalientes","31-33","Industrias Manufactureras",257820.921875,4,1,"Aguascalientes"
1002,"Asientos","31-33","Industrias Manufactureras",40.310001373291016,4,1,"Aguascalientes"
1003,"Calvillo","31-33","Industrias Manufactureras",1780.0579833984375,4,1,"Aguascalientes"
1004,"Cosío","31-33","Industrias Manufactureras",329.1809997558594,4,1,"Aguascalientes"
1005,"Jesús María","31-33","Industrias Manufactureras",26989.234375,4,1,"Aguascalientes"
1006,"Pabellón de Arteaga","31-33","Industrias Manufactureras",396.1709899902344,4,1,"Aguascalientes"
1007,"Rincón de Romos","31-33","Industrias Manufactureras",2468.412109375,4,1,"Aguascalientes"
1008,"San José de Gracia","31-33","Industrias Manufactureras",20.45199966430664,4,1,"Aguascalientes"
1009,"Tepezalá","31-33","Industrias Manufactureras",5640.57080078125,4,1,"Aguascalientes"
1010,"El Llano","31-33","Industrias Manufactureras",1099.989013671875,4,1,"Aguascalientes"
1011,"San Francisco de los Romo","31-33","Industrias Manufactureras",37388.7734375,4,1,"Aguascalientes"
2001,"Ensenada","31-33","Industrias Manufactureras",15688.1142578125,4,2,"Baja California"
2002,"Mexicali","31-33","Industrias Manufactureras",112075.5078125,4,2,"Baja California"
2003,"Tecate","31-33","Industrias Manufactureras",15810.4921875,4,2,"Baja California"
2004,"Tijuana","31-33","Industrias Manufactureras",222120.703125,4,2,"Baja California"
2005,"Playas de Rosarito","31-33","Industrias Manufactureras",2889.791015625,4,2,"Baja California"
3001,"Comondú","31-33","Industrias Manufactureras",976.4600219726562,4,3,"Baja California Sur"
3002,"Mulegé","31-33","Industrias Manufactureras",642.5750122070312,4,3,"Baja California Sur"
3003,"La Paz","31-33","Industrias Manufactureras",4331.48583984375,4,3,"Baja California Sur"
3008,"Los Cabos","31-33","Industrias Manufactureras",1914.8719482421875,4,3,"Baja California Sur"
3009,"Loreto","31-33","Industrias Manufactureras",43.33300018310547,4,3,"Baja California Sur"
4001,"Calkiní","31-33","Industrias Manufactureras",476.20599365234375,4,4,"Campeche"
4002,"Campeche","31-33","Industrias Manufactureras",2954.91796875,4,4,"Campeche"
4003,"Carmen","31-33","Industrias Manufactureras",849.8359985351562,4,4,"Campeche"
4004,"Champotón","31-33","Industrias Manufactureras",1580.9539794921875,4,4,"Campeche"
4005,"Hecelchakán","31-33","Industrias Manufactureras",48.448001861572266,4,4,"Campeche"
4006,"Hopelchén","31-33","Industrias Manufactureras",35.183998107910156,4,4,"Campeche"
4007,"Palizada","31-33","Industrias Manufactureras",12.760000228881836,4,4,"Campeche"
4008,"Tenabo","31-33","Industrias Manufactureras",128.9510040283203,4,4,"Campeche"
4009,"Escárcega","31-33","Industrias Manufactureras",274.8179931640625,4,4,"Campeche"
4010,"Calakmul","31-33","Industrias Manufactureras",18.917999267578125,4,4,"Campeche"
4011,"Candelaria","31-33","Industrias Manufactureras",24.738000869750977,4,4,"Campeche"
5001,"Abasolo","31-33","Industrias Manufactureras",,4,5,"Coahuila de Zaragoza"
5002,"Acuña","31-33","Industrias Manufactureras",13666.447265625,4,5,"Coahuila de Zaragoza"
5003,"Allende","31-33","Industrias Manufactureras",411.3240051269531,4,5,"Coahuila de Zaragoza"
5004,"Arteaga","31-33","Industrias Manufactureras",21792.017578125,4,5,"Coahuila de Zaragoza"
5005,"Candela","31-33","Industrias Manufactureras",18.336999893188477,4,5,"Coahuila de Zaragoza"
5006,"Castaños","31-33","Industrias Manufactureras",6309.712890625,4,5,"Coahuila de Zaragoza"
5007,"Cuatro Ciénegas","31-33","Industrias Manufactureras",612.5830078125,4,5,"Coahuila de Zaragoza"
5008,"Escobedo","31-33","Industrias Manufactureras",,4,5,"Coahuila de Zaragoza"
5009,"Francisco I. Madero","31-33","Industrias Manufactureras",942.927001953125,4,5,"Coahuila de Zaragoza"
5010,"Frontera","31-33","Industrias Manufactureras",39144.9453125,4,5,"Coahuila de Zaragoza"
5011,"General Cepeda","31-33","Industrias Manufactureras",56.9630012512207,4,5,"Coahuila de Zaragoza"
5012,"Guerrero","31-33","Industrias Manufactureras",,4,5,"Coahuila de Zaragoza"
5014,"Jiménez","31-33","Industrias Manufactureras",22.149999618530273,4,5,"Coahuila de Zaragoza"
5015,"Juárez","31-33","Industrias Manufactureras",,4,5,"Coahuila de Zaragoza"
5016,"Lamadrid","31-33","Industrias Manufactureras",5.419000148773193,4,5,"Coahuila de Zaragoza"
5017,"Matamoros","31-33","Industrias Manufactureras",2826.068115234375,4,5,"Coahuila de Zaragoza"
5018,"Monclova","31-33","Industrias Manufactureras",78342.390625,4,5,"Coahuila de Zaragoza"
5019,"Morelos","31-33","Industrias Manufactureras",135.26499938964844,4,5,"Coahuila de Zaragoza"
5020,"Múzquiz","31-33","Industrias Manufactureras",568.5040283203125,4,5,"Coahuila de Zaragoza"
5021,"Nadadores","31-33","Industrias Manufactureras",4.431000232696533,4,5,"Coahuila de Zaragoza"
5022,"Nava","31-33","Industrias Manufactureras",19798.126953125,4,5,"Coahuila de Zaragoza"
5023,"Ocampo","31-33","Industrias Manufactureras",3309.419921875,4,5,"Coahuila de Zaragoza"
5024,"Parras","31-33","Industrias Manufactureras",2827.5859375,4,5,"Coahuila de Zaragoza"
5025,"Piedras Negras","31-33","Industrias Manufactureras",19698.26953125,4,5,"Coahuila de Zaragoza"
5027,"Ramos Arizpe","31-33","Industrias Manufactureras",303632.53125,4,5,"Coahuila de Zaragoza"
5028,"Sabinas","31-33","Industrias Manufactureras",4703.1240234375,4,5,"Coahuila de Zaragoza"
5029,"Sacramento","31-33","Industrias Manufactureras",12.670999526977539,4,5,"Coahuila de Zaragoza"
5030,"Saltillo","31-33","Industrias Manufactureras",296390.15625,4,5,"Coahuila de Zaragoza"
5031,"San Buenaventura","31-33","Industrias Manufactureras",262.7449951171875,4,5,"Coahuila de Zaragoza"
5032,"San Juan de Sabinas","31-33","Industrias Manufactureras",257.9100036621094,4,5,"Coahuila de Zaragoza"
5033,"San Pedro","31-33","Industrias Manufactureras",1572.81298828125,4,5,"Coahuila de Zaragoza"
5034,"Sierra Mojada","31-33","Industrias Manufactureras",4.952000141143799,4,5,"Coahuila de Zaragoza"
5035,"Torreón","31-33","Industrias Manufactureras",201548.234375,4,5,"Coahuila de Zaragoza"
5036,"Viesca","31-33","Industrias Manufactureras",7.289000034332275,4,5,"Coahuila de Zaragoza"
5037,"Villa Unión","31-33","Industrias Manufactureras",4.377999782562256,4,5,"Coahuila de Zaragoza"
5038,"Zaragoza","31-33","Industrias Manufactureras",69.96199798583984,4,5,"Coahuila de Zaragoza"
6001,"Armería","31-33","Industrias Manufactureras",461.6340026855469,4,6,"Colima"
6002,"Colima","31-33","Industrias Manufactureras",3353.072021484375,4,6,"Colima"
6003,"Comala","31-33","Industrias Manufactureras",98.08599853515625,4,6,"Colima"
